ecoli-0_vs_1.dat
NO SELECTION, 7, 219, 0.9634695579649707, 0.8961038961038961, (0.05333333333333334, 1.0), 0.9452054794520548, [[34.5  4. ] [ 0.  71. ]]
ANOVA, 5, 219, 0.9634695579649707, 0.8961038961038961, (0.05333333333333334, 1.0), 0.9452054794520548, [[34.5  4. ] [ 0.  71. ]]
RELIEF, 5, 219, 0.9680567139282736, 0.9090909090909091, (0.04697986577181208, 1.0), 0.9523809523809523, [[35.   3.5] [ 0.  71. ]]
INFORATION GAIN, 5, 219, 0.9634695579649707, 0.8961038961038961, (0.05333333333333334, 1.0), 0.9452054794520548, [[34.5  4. ] [ 0.  71. ]]
CHI SQUARE, 5, 219, 0.9698582151793161, 0.9168831168831169, (0.043184885290148446, 0.9971751412429378), 0.9553450608930988, [[35.3  3.2] [ 0.1 70.9]]
CORRELATION COEF, 5, 219, 0.9689658048373646, 0.9116883116883118, (0.04569892473118279, 1.0), 0.9538043478260869, [[35.1  3.4] [ 0.  71. ]]
ecoli1.dat
NO SELECTION, 7, 335, 0.8817935557456517, 0.9472868217054263, (0.2105263157894737, 0.903846153846154), 0.9250567751703257, [[122.2   6.8] [ 13.   25.5]]
ANOVA, 5, 335, 0.8859566581123467, 0.9596899224806201, (0.174496644295302, 0.8990559186637619), 0.9283839520059993, [[123.8   5.2] [ 13.9  24.6]]
RELIEF, 5, 335, 0.8483746792130026, 0.9046511627906977, (0.32625994694960214, 0.899075500770416), 0.9018547140649149, [[116.7  12.3] [ 13.1  25.4]]
INFORATION GAIN, 5, 335, 0.8788138009694896, 0.9441860465116279, (0.22085889570552147, 0.9028910303928835), 0.923076923076923, [[121.8   7.2] [ 13.1  25.4]]
CHI SQUARE, 5, 335, 0.85134374108925, 0.910077519379845, (0.31521739130434784, 0.898240244835501), 0.9041201386214863, [[117.4  11.6] [ 13.3  25.2]]
CORRELATION COEF, 5, 335, 0.8412140005702881, 0.8976744186046511, (0.34464751958224543, 0.8962848297213623), 0.8969790859798605, [[115.8  13.2] [ 13.4  25.1]]
ecoli2.dat
NO SELECTION, 7, 335, 0.9557848588537212, 0.9717314487632509, (0.15037593984962405, 0.9758694109297373), 0.9737960339943342, [[137.5   4. ] [  3.4  22.6]]
ANOVA, 5, 335, 0.9558026803535785, 0.9759717314487633, (0.13385826771653545, 0.971850809289233), 0.9739069111424542, [[138.1   3.4] [  4.   22. ]]
RELIEF, 5, 335, 0.8841531223267751, 0.9597173144876326, (0.31666666666666665, 0.908361204013378), 0.9333333333333335, [[135.8   5.7] [ 13.7  12.3]]
INFORATION GAIN, 5, 335, 0.9450491873396066, 0.9667844522968199, (0.17938931297709926, 0.9681528662420382), 0.9674681753889675, [[136.8   4.7] [  4.5  21.5]]
CHI SQUARE, 5, 335, 0.9593848018249217, 0.9787985865724381, (0.11904761904761905, 0.9732958538299367), 0.9760394644115574, [[138.5   3. ] [  3.8  22.2]]
CORRELATION COEF, 5, 335, 0.9325028514399772, 0.976678445229682, (0.15492957746478872, 0.945280437756498), 0.9607229753215155, [[138.2   3.3] [  8.   18. ]]
ecoli3.dat
NO SELECTION, 7, 335, 0.9253849443969205, 0.9713333333333333, (0.3161764705882352, 0.9467186484730346), 0.9588680487002303, [[145.7   4.3] [  8.2   9.3]]
