dataset; method; num_of_feat; num_of_elems; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores
kr-vs-k-zero_vs_eight.dat; NO SELECTION; 6; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; ['all']
kr-vs-k-zero_vs_eight.dat; ANOVA; 6; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; [0,1,2,3,4,5]
kr-vs-k-zero_vs_eight.dat; RELIEF; 5; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; [1,2,3,4,5]
kr-vs-k-zero_vs_eight.dat; INFORATION GAIN; 6; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; [0,1,2,3,4,5]
kr-vs-k-zero_vs_eight.dat; CHI SQUARE; 5; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; [1,2,3,4,5]
kr-vs-k-zero_vs_eight.dat; CORRELATION COEF; 5; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; [1,2,3,4,5]
zoo-3.dat; NO SELECTION; 16; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; ['all']
zoo-3.dat; ANOVA; 1; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [10]
zoo-3.dat; RELIEF; 1; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [12]
zoo-3.dat; INFORATION GAIN; 1; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [13]
zoo-3.dat; CHI SQUARE; 1; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [10]
zoo-3.dat; CORRELATION COEF; 1; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [3]
kr-vs-k-one_vs_fifteen.dat; NO SELECTION; 6; 2244; 0.9937611408199644; 0.9967889908256881; 0.8205128205128205; 1.0; 0.9014084507042254; (1.0,0.006422018348623854,0.9935779816513761); [[32,7],[0,1083]]; ['all']
kr-vs-k-one_vs_fifteen.dat; ANOVA; 5; 2244; 0.9955436720142602; 0.9977022058823529; 0.8717948717948718; 1.0; 0.9315068493150686; (1.0,0.004595588235294118,0.9954044117647058); [[34,5],[0,1083]]; [0,1,3,4,5]
kr-vs-k-one_vs_fifteen.dat; RELIEF; 2; 2244; 0.9910873440285205; 0.9954254345837146; 0.7435897435897436; 1.0; 0.8529411764705882; (1.0,0.009149130832570906,0.9908508691674291); [[29,10],[0,1083]]; [4,5]
kr-vs-k-one_vs_fifteen.dat; INFORATION GAIN; 2; 2244; 0.9910873440285205; 0.9954254345837146; 0.7435897435897436; 1.0; 0.8529411764705882; (1.0,0.009149130832570906,0.9908508691674291); [[29,10],[0,1083]]; [4,5]
kr-vs-k-one_vs_fifteen.dat; CHI SQUARE; 5; 2244; 0.9955436720142602; 0.9977022058823529; 0.8717948717948718; 1.0; 0.9315068493150686; (1.0,0.004595588235294118,0.9954044117647058); [[34,5],[0,1083]]; [0,1,3,4,5]
kr-vs-k-one_vs_fifteen.dat; CORRELATION COEF; 2; 2244; 0.9910873440285205; 0.9954254345837146; 0.7435897435897436; 1.0; 0.8529411764705882; (1.0,0.009149130832570906,0.9908508691674291); [[29,10],[0,1083]]; [4,5]
winequality-red-4.dat; NO SELECTION; 11; 1599; 0.967459324155194; 0.483729662077597; 0.0; 0.0; 0.0; (0.0,0.03254067584480601,0.967459324155194); [[0,26],[0,773]]; ['all']
winequality-red-4.dat; ANOVA; 1; 1599; 0.967459324155194; 0.483729662077597; 0.0; 0.0; 0.0; (0.0,0.03254067584480601,0.967459324155194); [[0,26],[0,773]]; [1]
winequality-red-4.dat; RELIEF; 1; 1599; 0.967459324155194; 0.483729662077597; 0.0; 0.0; 0.0; (0.0,0.03254067584480601,0.967459324155194); [[0,26],[0,773]]; [6]
winequality-red-4.dat; INFORATION GAIN; 1; 1599; 0.967459324155194; 0.483729662077597; 0.0; 0.0; 0.0; (0.0,0.03254067584480601,0.967459324155194); [[0,26],[0,773]]; [1]
winequality-red-4.dat; CHI SQUARE; 1; 1599; 0.967459324155194; 0.483729662077597; 0.0; 0.0; 0.0; (0.0,0.03254067584480601,0.967459324155194); [[0,26],[0,773]]; [1]
winequality-red-4.dat; CORRELATION COEF; 1; 1599; 0.967459324155194; 0.483729662077597; 0.0; 0.0; 0.0; (0.0,0.03254067584480601,0.967459324155194); [[0,26],[0,773]]; [8]
dermatology-6.dat; NO SELECTION; 34; 358; 0.9608938547486033; 0.796951219512195; 0.9; 0.6; 0.7200000000000001; (0.6,0.006097560975609756,0.9939024390243902); [[9,1],[6,163]]; ['all']
dermatology-6.dat; ANOVA; 4; 358; 0.9664804469273743; 0.8183982683982685; 0.9; 0.6428571428571429; 0.75; (0.6428571428571429,0.006060606060606061,0.9939393939393939); [[9,1],[5,164]]; [6,29,30,33]
dermatology-6.dat; RELIEF; 3; 358; 0.9664804469273743; 0.8183982683982685; 0.9; 0.6428571428571429; 0.75; (0.6428571428571429,0.006060606060606061,0.9939393939393939); [[9,1],[5,164]]; [6,30,33]
dermatology-6.dat; INFORATION GAIN; 1; 358; 0.9776536312849162; 0.9884393063583815; 0.6; 1.0; 0.7499999999999999; (1.0,0.023121387283236993,0.976878612716763); [[6,4],[0,169]]; [29]
dermatology-6.dat; CHI SQUARE; 7; 358; 0.9664804469273743; 0.8183982683982685; 0.9; 0.6428571428571429; 0.75; (0.6428571428571429,0.006060606060606061,0.9939393939393939); [[9,1],[5,164]]; [6,8,10,20,29,30,33]
dermatology-6.dat; CORRELATION COEF; 21; 358; 0.9608938547486033; 0.796951219512195; 0.9; 0.6; 0.7200000000000001; (0.6,0.006097560975609756,0.9939024390243902); [[9,1],[6,163]]; [1,5,7,9,11,15,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33]
shuttle-2_vs_5.dat; NO SELECTION; 9; 3316; 0.9975874547647768; 0.9773434383725569; 0.88; 0.9565217391304348; 0.9166666666666666; (0.9565217391304348,0.001834862385321101,0.998165137614679); [[22,3],[1,1632]]; ['all']
shuttle-2_vs_5.dat; ANOVA; 1; 3316; 0.9981905910735827; 0.9990831295843521; 0.88; 1.0; 0.9361702127659575; (1.0,0.0018337408312958435,0.9981662591687042); [[22,3],[0,1633]]; [6]
shuttle-2_vs_5.dat; RELIEF; 2; 3316; 0.9975874547647768; 0.9773434383725569; 0.88; 0.9565217391304348; 0.9166666666666666; (0.9565217391304348,0.001834862385321101,0.998165137614679); [[22,3],[1,1632]]; [0,1]
shuttle-2_vs_5.dat; INFORATION GAIN; 1; 3316; 0.9981905910735827; 0.9990831295843521; 0.88; 1.0; 0.9361702127659575; (1.0,0.0018337408312958435,0.9981662591687042); [[22,3],[0,1633]]; [6]
shuttle-2_vs_5.dat; CHI SQUARE; 2; 3316; 0.9981905910735827; 0.9990831295843521; 0.88; 1.0; 0.9361702127659575; (1.0,0.0018337408312958435,0.9981662591687042); [[22,3],[0,1633]]; [0,6]
shuttle-2_vs_5.dat; CORRELATION COEF; 4; 3316; 0.996984318455971; 0.9984737484737485; 0.8; 1.0; 0.888888888888889; (1.0,0.0030525030525030525,0.996947496947497); [[20,5],[0,1633]]; [2,4,7,8]
winequality-white-3-9_vs_5.dat; NO SELECTION; 11; 1482; 0.9824561403508771; 0.49122807017543857; 0.0; 0.0; 0.0; (0.0,0.017543859649122806,0.9824561403508771); [[0,13],[0,728]]; ['all']
winequality-white-3-9_vs_5.dat; ANOVA; 1; 1482; 0.9824561403508771; 0.49122807017543857; 0.0; 0.0; 0.0; (0.0,0.017543859649122806,0.9824561403508771); [[0,13],[0,728]]; [10]
winequality-white-3-9_vs_5.dat; RELIEF; 1; 1482; 0.9824561403508771; 0.49122807017543857; 0.0; 0.0; 0.0; (0.0,0.017543859649122806,0.9824561403508771); [[0,13],[0,728]]; [6]
winequality-white-3-9_vs_5.dat; INFORATION GAIN; 1; 1482; 0.9824561403508771; 0.49122807017543857; 0.0; 0.0; 0.0; (0.0,0.017543859649122806,0.9824561403508771); [[0,13],[0,728]]; [10]
winequality-white-3-9_vs_5.dat; CHI SQUARE; 1; 1482; 0.9824561403508771; 0.49122807017543857; 0.0; 0.0; 0.0; (0.0,0.017543859649122806,0.9824561403508771); [[0,13],[0,728]]; [10]
winequality-white-3-9_vs_5.dat; CORRELATION COEF; 1; 1482; 0.9824561403508771; 0.49122807017543857; 0.0; 0.0; 0.0; (0.0,0.017543859649122806,0.9824561403508771); [[0,13],[0,728]]; [7]
winequality-red-3_vs_5.dat; NO SELECTION; 11; 691; 0.9855072463768116; 0.4927536231884058; 0.0; 0.0; 0.0; (0.0,0.014492753623188406,0.9855072463768116); [[0,5],[0,340]]; ['all']
winequality-red-3_vs_5.dat; ANOVA; 1; 691; 0.9855072463768116; 0.4927536231884058; 0.0; 0.0; 0.0; (0.0,0.014492753623188406,0.9855072463768116); [[0,5],[0,340]]; [1]
winequality-red-3_vs_5.dat; RELIEF; 1; 691; 0.9855072463768116; 0.4927536231884058; 0.0; 0.0; 0.0; (0.0,0.014492753623188406,0.9855072463768116); [[0,5],[0,340]]; [6]
winequality-red-3_vs_5.dat; INFORATION GAIN; 1; 691; 0.9855072463768116; 0.4927536231884058; 0.0; 0.0; 0.0; (0.0,0.014492753623188406,0.9855072463768116); [[0,5],[0,340]]; [6]
