dataset; method; num_of_feat; num_of_elems; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix
ecoli-0_vs_1.dat; NO SELECTION; 7; 220; 0.9645454545454546; 0.9741379310344827; 1.0; 0.9482758620689654; 0.9734513274336283; (0.9482758620689654,0.0,1.0); [[71.5,0.],[3.9,34.6]]
ecoli-0_vs_1.dat; ANOVA; 3; 220; 0.9727272727272727; 0.9768512807861519; 0.9944055944055943; 0.9647218453188603; 0.9793388429752065; (0.9647218453188603,0.011019283746556476,0.9889807162534435); [[71.1,0.4],[2.6,35.9]]
ecoli-0_vs_1.dat; RELIEF; 3; 220; 0.9709090909090909; 0.9785809906291834; 1.0; 0.9571619812583667; 0.9781121751025992; (0.9571619812583667,0.0,1.0); [[71.5,0.],[3.2,35.3]]
ecoli-0_vs_1.dat; INFORATION GAIN; 3; 220; 0.9681818181818181; 0.9766666666666667; 1.0; 0.9533333333333334; 0.9761092150170648; (0.9533333333333334,0.0,1.0); [[71.5,0.],[3.5,35.]]
ecoli-0_vs_1.dat; CHI SQUARE; 3; 220; 0.9709090909090909; 0.9747954442662718; 0.993006993006993; 0.9633649932157394; 0.977961432506887; (0.9633649932157394,0.013774104683195593,0.9862258953168044); [[71.,0.5],[2.7,35.8]]
ecoli-0_vs_1.dat; CORRELATION COEF; 3; 220; 0.9727272727272727; 0.9768512807861519; 0.9944055944055943; 0.9647218453188603; 0.9793388429752065; (0.9647218453188603,0.011019283746556476,0.9889807162534435); [[71.1,0.4],[2.6,35.9]]
ecoli1.dat; NO SELECTION; 7; 336; 0.8869047619047619; 0.8545028529970728; 0.6727272727272727; 0.8018575851393189; 0.731638418079096; (0.8018575851393189,0.09285187914517318,0.9071481208548269); [[25.9,12.6],[6.4,123.1]]
ecoli1.dat; ANOVA; 3; 336; 0.8482142857142858; 0.785252700617284; 0.6675324675324675; 0.6692708333333334; 0.6684005201560468; (0.6692708333333334,0.09876543209876544,0.9012345679012346); [[25.7,12.8],[12.7,116.8]]
ecoli1.dat; RELIEF; 3; 336; 0.8482142857142858; 0.785252700617284; 0.6675324675324675; 0.6692708333333334; 0.6684005201560468; (0.6692708333333334,0.09876543209876544,0.9012345679012346); [[25.7,12.8],[12.7,116.8]]
ecoli1.dat; INFORATION GAIN; 3; 336; 0.8898809523809523; 0.8661451958384333; 0.6545454545454545; 0.8289473684210527; 0.7314949201741655; (0.8289473684210527,0.09665697674418605,0.903343023255814); [[25.2,13.3],[5.2,124.3]]
ecoli1.dat; CHI SQUARE; 3; 336; 0.8517857142857143; 0.788754555756332; 0.7116883116883117; 0.6650485436893203; 0.6875784190715182; (0.6650485436893203,0.08753943217665615,0.9124605678233438); [[27.4,11.1],[13.8,115.7]]
ecoli1.dat; CORRELATION COEF; 3; 336; 0.8386904761904761; 0.7714018994087044; 0.6597402597402597; 0.6446700507614213; 0.6521181001283697; (0.6446700507614213,0.10186625194401244,0.8981337480559876); [[25.4,13.1],[14.,115.5]]
ecoli2.dat; NO SELECTION; 7; 336; 0.9589285714285714; 0.9178693830164524; 0.8807692307692307; 0.8576779026217228; 0.8690702087286527; (0.8576779026217228,0.02193913658881812,0.9780608634111819); [[22.9,3.1],[3.8,138.2]]
ecoli2.dat; ANOVA; 3; 336; 0.9023809523809524; 0.8155804195804197; 0.6653846153846155; 0.6920000000000001; 0.6784313725490198; (0.6920000000000001,0.060839160839160834,0.9391608391608393); [[17.3,8.7],[7.7,134.3]]
ecoli2.dat; RELIEF; 3; 336; 0.8660714285714286; 0.7502250225022502; 0.38461538461538464; 0.6060606060606061; 0.47058823529411764; (0.6060606060606061,0.10561056105610561,0.8943894389438944); [[10.,16.],[6.5,135.5]]
ecoli2.dat; INFORATION GAIN; 3; 336; 0.9083333333333334; 0.8197018189844589; 0.7538461538461539; 0.6853146853146853; 0.7179487179487181; (0.6853146853146853,0.04591104734576758,0.9540889526542324); [[19.6,6.4],[9.,133.]]
ecoli2.dat; CHI SQUARE; 3; 336; 0.9011904761904763; 0.8115494063389265; 0.676923076923077; 0.6821705426356589; 0.6795366795366795; (0.6821705426356589,0.0590717299578059,0.940928270042194); [[17.6,8.4],[8.2,133.8]]
ecoli2.dat; CORRELATION COEF; 3; 336; 0.894047619047619; 0.80024202018357; 0.6269230769230769; 0.6680327868852459; 0.6468253968253967; (0.6680327868852459,0.06754874651810584,0.9324512534818943); [[16.3,9.7],[8.1,133.9]]
ecoli3.dat; NO SELECTION; 7; 336; 0.9291666666666666; 0.8261574465685445; 0.5542857142857143; 0.7028985507246377; 0.6198083067092652; (0.7028985507246377,0.05058365758754863,0.9494163424124513); [[9.7,7.8],[4.1,146.4]]
ecoli3.dat; ANOVA; 3; 336; 0.9267857142857144; 0.8204948736266919; 0.5314285714285715; 0.6940298507462687; 0.6019417475728156; (0.6940298507462687,0.05304010349288486,0.9469598965071152); [[9.3,8.2],[4.1,146.4]]
ecoli3.dat; RELIEF; 3; 336; 0.8922619047619047; 0.6699616837847906; 0.11428571428571428; 0.4347826086956522; 0.18099547511312217; (0.4347826086956522,0.09485924112607098,0.905140758873929); [[2.,15.5],[2.6,147.9]]
ecoli3.dat; INFORATION GAIN; 3; 336; 0.9267857142857144; 0.8204948736266919; 0.5314285714285715; 0.6940298507462687; 0.6019417475728156; (0.6940298507462687,0.05304010349288486,0.9469598965071152); [[9.3,8.2],[4.1,146.4]]
ecoli3.dat; CHI SQUARE; 3; 336; 0.9267857142857144; 0.8204948736266919; 0.5314285714285715; 0.6940298507462687; 0.6019417475728156; (0.6940298507462687,0.05304010349288486,0.9469598965071152); [[9.3,8.2],[4.1,146.4]]
ecoli3.dat; CORRELATION COEF; 3; 336; 0.8916666666666666; 0.6591169511451063; 0.09714285714285714; 0.41463414634146345; 0.15740740740740744; (0.41463414634146345,0.09640024405125076,0.9035997559487492); [[1.7,15.8],[2.4,148.1]]
glass0.dat; NO SELECTION; 9; 214; 0.7738317757009345; 0.7431103948428686; 0.64; 0.6588235294117647; 0.6492753623188406; (0.6588235294117647,0.17260273972602738,0.8273972602739725); [[22.4,12.6],[11.6,60.4]]
glass0.dat; ANOVA; 3; 214; 0.7915887850467289; 0.7634436450839328; 0.7171428571428572; 0.6693333333333333; 0.6924137931034483; (0.6693333333333333,0.14244604316546763,0.8575539568345324); [[25.1,9.9],[12.4,59.6]]
glass0.dat; RELIEF; 3; 214; 0.6738317757009347; 0.6167221270809259; 0.38571428571428573; 0.5018587360594796; 0.4361873990306947; (0.5018587360594796,0.268414481897628,0.7315855181023722); [[13.5,21.5],[13.4,58.6]]
glass0.dat; INFORATION GAIN; 3; 214; 0.7971962616822429; 0.7697812265484231; 0.7342857142857143; 0.6745406824146981; 0.7031463748290013; (0.6745406824146981,0.13497822931785197,0.865021770682148); [[25.7,9.3],[12.4,59.6]]
glass0.dat; CHI SQUARE; 3; 214; 0.794392523364486; 0.7669454292034057; 0.7371428571428572; 0.6683937823834197; 0.7010869565217392; (0.6683937823834197,0.13450292397660815,0.8654970760233918); [[25.8,9.2],[12.8,59.2]]
glass0.dat; CORRELATION COEF; 3; 214; 0.7542056074766355; 0.7202937249666223; 0.5828571428571429; 0.6355140186915889; 0.6080476900149032; (0.6355140186915889,0.19492656875834447,0.8050734312416556); [[20.4,14.6],[11.7,60.3]]
glass1.dat; NO SELECTION; 9; 214; 0.7439252336448597; 0.7328292682926829; 0.46842105263157896; 0.7120000000000001; 0.5650793650793652; (0.7120000000000001,0.24634146341463414,0.7536585365853659); [[17.8,20.2],[7.2,61.8]]
glass1.dat; ANOVA; 3; 214; 0.6224299065420561; 0.5447376599160926; 0.19473684210526318; 0.4302325581395348; 0.26811594202898553; (0.4302325581395348,0.34075723830734966,0.6592427616926503); [[7.4,30.6],[9.8,59.2]]
glass1.dat; RELIEF; 3; 214; 0.7579439252336448; 0.746000340103226; 0.5184210526315789; 0.7216117216117217; 0.6033690658499234; (0.7216117216117217,0.22961104140526975,0.7703889585947302); [[19.7,18.3],[7.6,61.4]]
glass1.dat; INFORATION GAIN; 3; 214; 0.7514018691588784; 0.7389836531627576; 0.5; 0.7142857142857143; 0.588235294117647; (0.7142857142857143,0.23631840796019898,0.7636815920398009); [[19.,19.],[7.6,61.4]]
glass1.dat; CHI SQUARE; 3; 214; 0.630841121495327; 0.5398590375598639; 0.11578947368421054; 0.4271844660194175; 0.18219461697722567; (0.4271844660194175,0.3474663908996898,0.6525336091003102); [[4.4,33.6],[5.9,63.1]]
glass1.dat; CORRELATION COEF; 3; 214; 0.7467289719626169; 0.7325082438981161; 0.4947368421052632; 0.7041198501872659; 0.5811437403400309; (0.7041198501872659,0.23910336239103364,0.7608966376089664); [[18.8,19.2],[7.9,61.1]]
