ecoli-0-6-7_vs_5.dat
NO SELECTION, 6, 220, 0.9463636363636363, 0.9990000000000001, (0.023255813953488375, 0.945127719962157), 0.9713174526008751, [[99.9  0.1] [ 5.8  4.2]]
ANOVA, 3, 220, 0.9745454545454546, 1.0, (0.0, 0.9727626459143969), 0.9861932938856015, [[100.    0. ] [  2.8   7.2]]
RELIEF, 3, 220, 0.9390909090909091, 0.997, (0.07692307692307693, 0.9396795475966069), 0.9674915089762249, [[99.7  0.3] [ 6.4  3.6]]
INFORATION GAIN, 3, 220, 0.9745454545454546, 1.0, (0.0, 0.9727626459143969), 0.9861932938856015, [[100.    0. ] [  2.8   7.2]]
CHI SQUARE, 3, 220, 0.9736363636363636, 1.0, (0.0, 0.9718172983479105), 0.9857072449482503, [[100.    0. ] [  2.9   7.1]]
CORRELATION COEF, 3, 220, 0.908181818181818, 0.9990000000000001, (1.0, 0.9090081892629663), 0.9518818484992855, [[99.9  0.1] [10.   0. ]]
ecoli-0-2-3-4_vs_5.dat
NO SELECTION, 7, 202, 0.9574257425742573, 0.9923076923076922, (0.09859154929577463, 0.9616613418530352), 0.9767441860465116, [[90.3  0.7] [ 3.6  6.4]]
ANOVA, 3, 202, 0.9663366336633663, 1.0, (0.0, 0.9639830508474576), 0.9816612729234089, [[91.   0. ] [ 3.4  6.6]]
RELIEF, 3, 202, 0.9386138613861386, 0.9912087912087912, (0.14814814814814817, 0.9435146443514644), 0.9667738478027866, [[90.2  0.8] [ 5.4  4.6]]
INFORATION GAIN, 3, 202, 0.9663366336633663, 1.0, (0.0, 0.9639830508474576), 0.9816612729234089, [[91.   0. ] [ 3.4  6.6]]
CHI SQUARE, 3, 202, 0.9663366336633663, 1.0, (0.0, 0.9639830508474576), 0.9816612729234089, [[91.   0. ] [ 3.4  6.6]]
CORRELATION COEF, 3, 202, 0.918811881188119, 0.989010989010989, (0.2631578947368421, 0.9259259259259259), 0.9564293304994687, [[90.   1. ] [ 7.2  2.8]]
ecoli-0-6-7_vs_3-5.dat
NO SELECTION, 7, 222, 0.9387387387387388, 1.0, (0.0, 0.9363295880149813), 0.9671179883945842, [[100.    0. ] [  6.8   4.2]]
