dataset; method; num_of_feat; num_of_elems; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores
INSURANCE; NO SELECTION; 10; 381109; 0.8754893625953798; 0.548994206273754; 0.006251338043245558; 0.22021116138763197; 0.0121575485052877; (0.22021116138763197,0.12222274884012407,0.8777772511598759); [[146,23209],[517,166682]]; ['all']
INSURANCE; ANOVA; 5; 381109; 0.869265405082024; 0.6296198373341245; 0.09835153072147292; 0.3734352137863762; 0.15569714634311665; (0.3734352137863762,0.11419553911812715,0.8858044608818728); [[2297,21058],[3854,163345]]; [1,4,5,6,8]
INSURANCE; RELIEF; 5; 381109; 0.8754736190266276; 0.5476450105555309; 0.006165703275529865; 0.2175226586102719; 0.011991506016571596; (0.2175226586102719,0.12223263749921008,0.8777673625007899); [[144,23211],[518,166681]]; [1,3,7,8,9]
INSURANCE; INFORATION GAIN; 5; 381109; 0.8713907868635662; 0.6278868704306222; 0.07189038749732392; 0.37228381374722835; 0.12050959985645075; (0.37228381374722835,0.11651007288598396,0.8834899271140161); [[1679,21676],[2831,164368]]; [2,4,5,6,8]
INSURANCE; CHI SQUARE; 5; 381109; 0.869265405082024; 0.6296198373341245; 0.09835153072147292; 0.3734352137863762; 0.15569714634311665; (0.3734352137863762,0.11419553911812715,0.8858044608818728); [[2297,21058],[3854,163345]]; [1,4,5,6,8]
INSURANCE; CORRELATION COEF; 5; 381109; 0.8712910775948025; 0.636453893296671; 0.08683365446371227; 0.3879854601109623; 0.14190749422713597; (0.3879854601109623,0.1150776735176202,0.8849223264823798); [[2028,21327],[3199,164000]]; [1,4,5,6,8]
MUSHROOM; NO SELECTION; 22; 4607; 0.9800260529743813; 0.9893023255813953; 0.7688442211055276; 1.0; 0.8693181818181818; (1.0,0.021395348837209303,0.9786046511627907); [[153,46],[0,2104]]; ['all']
MUSHROOM; ANOVA; 5; 4607; 0.9813287016934433; 0.9899860270144387; 0.7839195979899497; 1.0; 0.8788732394366198; (1.0,0.020027945971122497,0.9799720540288775); [[156,43],[0,2104]]; [3,7,8,10,18]
MUSHROOM; RELIEF; 5; 4607; 0.9934867564046895; 0.9964605946201038; 0.9246231155778895; 1.0; 0.9608355091383812; (1.0,0.0070788107597923545,0.9929211892402077); [[184,15],[0,2104]]; [4,10,18,20,21]
MUSHROOM; INFORATION GAIN; 5; 4607; 0.9817629179331308; 0.9902143522833178; 0.7889447236180904; 1.0; 0.8820224719101123; (1.0,0.0195712954333644,0.9804287045666356); [[157,42],[0,2104]]; [4,8,11,18,19]
MUSHROOM; CHI SQUARE; 5; 4607; 0.9813287016934433; 0.9899860270144387; 0.7839195979899497; 1.0; 0.8788732394366198; (1.0,0.020027945971122497,0.9799720540288775); [[156,43],[0,2104]]; [3,6,7,8,18]
MUSHROOM; CORRELATION COEF; 5; 4607; 0.9826313504125054; 0.9906716417910448; 0.7989949748743719; 1.0; 0.888268156424581; (1.0,0.018656716417910446,0.9813432835820896); [[159,40],[0,2104]]; [6,16,18,19,21]
CUSTOM; NO SELECTION; 20; 99999; 0.9870597411948239; 0.9876526188915086; 0.8813795853269537; 0.9883746926000447; 0.9318157867003899; (0.9883746926000447,0.013069454817027632,0.9869305451829724); [[4421,595],[52,44931]]; ['all']
CUSTOM; ANOVA; 5; 99999; 0.9847596951939038; 0.9639014170090499; 0.9080940988835726; 0.9380148270181219; 0.9228119935170178; (0.9380148270181219,0.010211993000022151,0.9897880069999778); [[4555,461],[301,44682]]; [3,11,13,14,16]
CUSTOM; RELIEF; 5; 99999; 0.997859957199144; 0.9947231119134634; 0.9878389154704944; 0.9908018396320736; 0.98931815912948; (0.9908018396320736,0.0013556158051468955,0.9986443841948531); [[4955,61],[46,44937]]; [4,11,13,15,17]
CUSTOM; INFORATION GAIN; 5; 99999; 0.9916798335966719; 0.9794827453083408; 0.9523524720893142; 0.9642712959224868; 0.9582748244734202; (0.9642712959224868,0.005305805305805306,0.9946941946941947); [[4777,239],[177,44806]]; [3,11,12,13,17]
CUSTOM; CHI SQUARE; 5; 99999; 0.9847596951939038; 0.9639014170090499; 0.9080940988835726; 0.9380148270181219; 0.9228119935170178; (0.9380148270181219,0.010211993000022151,0.9897880069999778); [[4555,461],[301,44682]]; [3,11,13,14,16]
CUSTOM; CORRELATION COEF; 5; 99999; 0.995279905598112; 0.9891345230905106; 0.9712918660287081; 0.9814665592264303; 0.9763527054108216; (0.9814665592264303,0.003197513045409126,0.9968024869545908); [[4872,144],[92,44891]]; [13,15,16,17,19]
CREDIT_CARD; NO SELECTION; 30; 284807; 0.9993890578147933; 0.9455842565456272; 0.7357723577235772; 0.8916256157635468; 0.8062360801781737; (0.8916256157635468,0.0004571026722925457,0.9995428973277074); [[181,65],[22,142135]]; ['all']
CREDIT_CARD; ANOVA; 5; 284807; 0.9995084373222475; 0.9633988393375497; 0.7764227642276422; 0.9271844660194175; 0.8451327433628318; (0.9271844660194175,0.00038678734431809393,0.9996132126556819); [[191,55],[15,142142]]; [11,13,15,17,18]
CREDIT_CARD; RELIEF; 5; 284807; 0.9994522587305043; 0.9497995681925271; 0.7682926829268293; 0.9; 0.8289473684210527; (0.9,0.0004008636149458834,0.9995991363850542); [[189,57],[21,142136]]; [4,11,13,15,18]
CREDIT_CARD; INFORATION GAIN; 5; 284807; 0.9994943926743116; 0.9589412189923372; 0.7764227642276422; 0.9182692307692307; 0.8414096916299559; (0.9182692307692307,0.000386792784556419,0.9996132072154436); [[191,55],[17,142140]]; [11,12,13,15,18]
CREDIT_CARD; CHI SQUARE; 5; 284807; 0.9994382140825685; 0.9474150994640751; 0.7642276422764228; 0.8952380952380953; 0.824561403508772; (0.8952380952380953,0.000407896309944934,0.999592103690055); [[188,58],[22,142135]]; [5,12,13,15,18]
