dataset; method; num_of_feat; num_of_elems; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores
kr-vs-k-zero_vs_eight.dat; NO SELECTION; 6; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; ['all']
kr-vs-k-zero_vs_eight.dat; ANOVA; 3; 1460; 0.9904109589041096; 0.9333448753462603; 0.5384615384615384; 0.875; 0.6666666666666667; (0.875,0.008310249307479225,0.9916897506925207); [[7,6],[1,716]]; [2,4,5]
kr-vs-k-zero_vs_eight.dat; RELIEF; 5; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; [1,2,3,4,5]
kr-vs-k-zero_vs_eight.dat; INFORATION GAIN; 4; 1460; 0.9904109589041096; 0.9333448753462603; 0.5384615384615384; 0.875; 0.6666666666666667; (0.875,0.008310249307479225,0.9916897506925207); [[7,6],[1,716]]; [0,2,4,5]
kr-vs-k-zero_vs_eight.dat; CHI SQUARE; 3; 1460; 0.9904109589041096; 0.9333448753462603; 0.5384615384615384; 0.875; 0.6666666666666667; (0.875,0.008310249307479225,0.9916897506925207); [[7,6],[1,716]]; [2,4,5]
kr-vs-k-zero_vs_eight.dat; CORRELATION COEF; 5; 1460; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; [1,2,3,4,5]
zoo-3.dat; NO SELECTION; 16; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; ['all']
zoo-3.dat; ANOVA; 1; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [10]
zoo-3.dat; RELIEF; 1; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [12]
zoo-3.dat; INFORATION GAIN; 1; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [13]
zoo-3.dat; CHI SQUARE; 1; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [10]
zoo-3.dat; CORRELATION COEF; 1; 101; 0.96; 0.48; 0.0; 0.0; 0.0; (0.0,0.04,0.96); [[0,2],[0,48]]; [3]
kr-vs-k-one_vs_fifteen.dat; NO SELECTION; 6; 2244; 0.9937611408199644; 0.9967889908256881; 0.8205128205128205; 1.0; 0.9014084507042254; (1.0,0.006422018348623854,0.9935779816513761); [[32,7],[0,1083]]; ['all']
kr-vs-k-one_vs_fifteen.dat; ANOVA; 4; 2244; 1.0; 1.0; 1.0; 1.0; 1.0; (1.0,0.0,1.0); [[39,0],[0,1083]]; [0,1,4,5]
kr-vs-k-one_vs_fifteen.dat; RELIEF; 4; 2244; 1.0; 1.0; 1.0; 1.0; 1.0; (1.0,0.0,1.0); [[39,0],[0,1083]]; [0,1,4,5]
kr-vs-k-one_vs_fifteen.dat; INFORATION GAIN; 4; 2244; 1.0; 1.0; 1.0; 1.0; 1.0; (1.0,0.0,1.0); [[39,0],[0,1083]]; [0,1,4,5]
kr-vs-k-one_vs_fifteen.dat; CHI SQUARE; 4; 2244; 1.0; 1.0; 1.0; 1.0; 1.0; (1.0,0.0,1.0); [[39,0],[0,1083]]; [0,1,4,5]
kr-vs-k-one_vs_fifteen.dat; CORRELATION COEF; 5; 2244; 0.9928698752228164; 0.9963336388634281; 0.7948717948717948; 1.0; 0.8857142857142858; (1.0,0.007332722273143905,0.9926672777268561); [[31,8],[0,1083]]; [1,2,3,4,5]
winequality-red-4.dat; NO SELECTION; 11; 1599; 0.967459324155194; 0.483729662077597; 0.0; 0.0; 0.0; (0.0,0.03254067584480601,0.967459324155194); [[0,26],[0,773]]; ['all']
winequality-red-4.dat; ANOVA; 1; 1599; 0.967459324155194; 0.483729662077597; 0.0; 0.0; 0.0; (0.0,0.03254067584480601,0.967459324155194); [[0,26],[0,773]]; [1]
winequality-red-4.dat; RELIEF; 1; 1599; 0.967459324155194; 0.483729662077597; 0.0; 0.0; 0.0; (0.0,0.03254067584480601,0.967459324155194); [[0,26],[0,773]]; [6]
winequality-red-4.dat; INFORATION GAIN; 2; 1599; 0.967459324155194; 0.7343161856963614; 0.038461538461538464; 0.5; 0.07142857142857144; (0.5,0.03136762860727729,0.9686323713927227); [[1,25],[1,772]]; [1,10]
winequality-red-4.dat; CHI SQUARE; 1; 1599; 0.967459324155194; 0.483729662077597; 0.0; 0.0; 0.0; (0.0,0.03254067584480601,0.967459324155194); [[0,26],[0,773]]; [1]
winequality-red-4.dat; CORRELATION COEF; 1; 1599; 0.967459324155194; 0.483729662077597; 0.0; 0.0; 0.0; (0.0,0.03254067584480601,0.967459324155194); [[0,26],[0,773]]; [8]
dermatology-6.dat; NO SELECTION; 34; 358; 0.9608938547486033; 0.796951219512195; 0.9; 0.6; 0.7200000000000001; (0.6,0.006097560975609756,0.9939024390243902); [[9,1],[6,163]]; ['all']
dermatology-6.dat; ANOVA; 1; 358; 0.994413407821229; 0.9970588235294118; 0.9; 1.0; 0.9473684210526316; (1.0,0.0058823529411764705,0.9941176470588236); [[9,1],[0,169]]; [30]
dermatology-6.dat; RELIEF; 3; 358; 0.9664804469273743; 0.8183982683982685; 0.9; 0.6428571428571429; 0.75; (0.6428571428571429,0.006060606060606061,0.9939393939393939); [[9,1],[5,164]]; [6,30,33]
dermatology-6.dat; INFORATION GAIN; 1; 358; 0.994413407821229; 0.9970588235294118; 0.9; 1.0; 0.9473684210526316; (1.0,0.0058823529411764705,0.9941176470588236); [[9,1],[0,169]]; [30]
