dataset; method; num_of_feat; num_of_elems; percent; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores
yeast5.dat; NO SELECTION; 8; 1484; 100; 0.9797843665768194; 0.8763849319404875; 0.45454545454545453; 0.7692307692307693; 0.5714285714285714; (0.7692307692307693,0.01646090534979424,0.9835390946502057); [[10,12],[3,717]]; ['all']
yeast5.dat; ANOVA; 1; 1484; 20.0; 0.9703504043126685; 0.48517520215633425; 0.0; 0.0; 0.0; (0.0,0.029649595687331536,0.9703504043126685); [[0,22],[0,720]]; [0]
yeast5.dat; RELIEF; 1; 1484; 20.0; 0.9703504043126685; 0.48517520215633425; 0.0; 0.0; 0.0; (0.0,0.029649595687331536,0.9703504043126685); [[0,22],[0,720]]; [0]
yeast5.dat; INFORATION GAIN; 1; 1484; 20.0; 0.9609164420485176; 0.6209536909674461; 0.18181818181818182; 0.26666666666666666; 0.21621621621621623; (0.26666666666666666,0.024759284731774415,0.9752407152682255); [[4,18],[11,709]]; [1]
yeast5.dat; CHI SQUARE; 1; 1484; 20.0; 0.9703504043126685; 0.48517520215633425; 0.0; 0.0; 0.0; (0.0,0.029649595687331536,0.9703504043126685); [[0,22],[0,720]]; [0]
yeast5.dat; CORRELATION COEF; 1; 1484; 20.0; 0.9609164420485176; 0.6209536909674461; 0.18181818181818182; 0.26666666666666666; 0.21621621621621623; (0.26666666666666666,0.024759284731774415,0.9752407152682255); [[4,18],[11,709]]; [1]
yeast5.dat; ANOVA; 3; 1484; 40.0; 0.9797843665768194; 0.8212190844772329; 0.6818181818181818; 0.6521739130434783; 0.6666666666666666; (0.6521739130434783,0.009735744089012517,0.9902642559109874); [[15,7],[8,712]]; [0,1,2]
yeast5.dat; RELIEF; 3; 1484; 40.0; 0.9797843665768194; 0.8212190844772329; 0.6818181818181818; 0.6521739130434783; 0.6666666666666666; (0.6521739130434783,0.009735744089012517,0.9902642559109874); [[15,7],[8,712]]; [0,1,2]
yeast5.dat; INFORATION GAIN; 3; 1484; 40.0; 0.9797843665768194; 0.8212190844772329; 0.6818181818181818; 0.6521739130434783; 0.6666666666666666; (0.6521739130434783,0.009735744089012517,0.9902642559109874); [[15,7],[8,712]]; [0,1,2]
yeast5.dat; CHI SQUARE; 3; 1484; 40.0; 0.9797843665768194; 0.8212190844772329; 0.6818181818181818; 0.6521739130434783; 0.6666666666666666; (0.6521739130434783,0.009735744089012517,0.9902642559109874); [[15,7],[8,712]]; [0,1,2]
yeast5.dat; CORRELATION COEF; 3; 1484; 40.0; 0.9743935309973046; 0.7980901129049278; 0.36363636363636365; 0.6153846153846154; 0.4571428571428572; (0.6153846153846154,0.019204389574759947,0.9807956104252401); [[8,14],[5,715]]; [1,2,6]
