dataset; method; num_of_feat; num_of_elems; percent; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores
ecoli-0_vs_1.dat; NO SELECTION; 7; 220; 100; 0.9545454545454546; 0.9671052631578947; 1.0; 0.9342105263157895; 0.9659863945578232; (0.9342105263157895,0.0,1.0); [[71,0],[5,34]]; ['all']
ecoli-0_vs_1.dat; ANOVA; 1; 220; 20.0; 0.9818181818181818; 0.9863013698630136; 1.0; 0.9726027397260274; 0.9861111111111112; (0.9726027397260274,0.0,1.0); [[71,0],[2,37]]; [5]
ecoli-0_vs_1.dat; RELIEF; 1; 220; 20.0; 0.9818181818181818; 0.9863013698630136; 1.0; 0.9726027397260274; 0.9861111111111112; (0.9726027397260274,0.0,1.0); [[71,0],[2,37]]; [5]
ecoli-0_vs_1.dat; INFORATION GAIN; 1; 220; 20.0; 0.9818181818181818; 0.9863013698630136; 1.0; 0.9726027397260274; 0.9861111111111112; (0.9726027397260274,0.0,1.0); [[71,0],[2,37]]; [5]
ecoli-0_vs_1.dat; CHI SQUARE; 1; 220; 20.0; 0.9818181818181818; 0.9863013698630136; 1.0; 0.9726027397260274; 0.9861111111111112; (0.9726027397260274,0.0,1.0); [[71,0],[2,37]]; [5]
ecoli-0_vs_1.dat; CORRELATION COEF; 1; 220; 20.0; 0.9454545454545454; 0.961038961038961; 1.0; 0.922077922077922; 0.9594594594594594; (0.922077922077922,0.0,1.0); [[71,0],[6,33]]; [6]
ecoli-0_vs_1.dat; ANOVA; 2; 220; 40.0; 0.9636363636363636; 0.9733333333333334; 1.0; 0.9466666666666667; 0.9726027397260273; (0.9466666666666667,0.0,1.0); [[71,0],[4,35]]; [5,6]
ecoli-0_vs_1.dat; RELIEF; 2; 220; 40.0; 0.9636363636363636; 0.9733333333333334; 1.0; 0.9466666666666667; 0.9726027397260273; (0.9466666666666667,0.0,1.0); [[71,0],[4,35]]; [5,6]
ecoli-0_vs_1.dat; INFORATION GAIN; 2; 220; 40.0; 0.9636363636363636; 0.9733333333333334; 1.0; 0.9466666666666667; 0.9726027397260273; (0.9466666666666667,0.0,1.0); [[71,0],[4,35]]; [5,6]
ecoli-0_vs_1.dat; CHI SQUARE; 2; 220; 40.0; 0.9636363636363636; 0.9733333333333334; 1.0; 0.9466666666666667; 0.9726027397260273; (0.9466666666666667,0.0,1.0); [[71,0],[4,35]]; [5,6]
ecoli-0_vs_1.dat; CORRELATION COEF; 2; 220; 40.0; 0.9636363636363636; 0.9733333333333334; 1.0; 0.9466666666666667; 0.9726027397260273; (0.9466666666666667,0.0,1.0); [[71,0],[4,35]]; [5,6]
ecoli-0_vs_1.dat; ANOVA; 4; 220; 60.0; 0.9545454545454546; 0.9671052631578947; 1.0; 0.9342105263157895; 0.9659863945578232; (0.9342105263157895,0.0,1.0); [[71,0],[5,34]]; [1,4,5,6]
ecoli-0_vs_1.dat; RELIEF; 4; 220; 60.0; 0.9727272727272728; 0.9797297297297297; 1.0; 0.9594594594594594; 0.9793103448275862; (0.9594594594594594,0.0,1.0); [[71,0],[3,36]]; [0,1,5,6]
ecoli-0_vs_1.dat; INFORATION GAIN; 4; 220; 60.0; 0.9545454545454546; 0.9671052631578947; 1.0; 0.9342105263157895; 0.9659863945578232; (0.9342105263157895,0.0,1.0); [[71,0],[5,34]]; [0,4,5,6]
ecoli-0_vs_1.dat; CHI SQUARE; 4; 220; 60.0; 0.9636363636363636; 0.9733333333333334; 1.0; 0.9466666666666667; 0.9726027397260273; (0.9466666666666667,0.0,1.0); [[71,0],[4,35]]; [1,2,5,6]
ecoli-0_vs_1.dat; CORRELATION COEF; 4; 220; 60.0; 0.9545454545454546; 0.9671052631578947; 1.0; 0.9342105263157895; 0.9659863945578232; (0.9342105263157895,0.0,1.0); [[71,0],[5,34]]; [1,4,5,6]
ecoli-0_vs_1.dat; ANOVA; 5; 220; 80.0; 0.9545454545454546; 0.9671052631578947; 1.0; 0.9342105263157895; 0.9659863945578232; (0.9342105263157895,0.0,1.0); [[71,0],[5,34]]; [0,1,4,5,6]
ecoli-0_vs_1.dat; RELIEF; 5; 220; 80.0; 0.9545454545454546; 0.9671052631578947; 1.0; 0.9342105263157895; 0.9659863945578232; (0.9342105263157895,0.0,1.0); [[71,0],[5,34]]; [0,1,4,5,6]
ecoli-0_vs_1.dat; INFORATION GAIN; 5; 220; 80.0; 0.9545454545454546; 0.9671052631578947; 1.0; 0.9342105263157895; 0.9659863945578232; (0.9342105263157895,0.0,1.0); [[71,0],[5,34]]; [0,1,4,5,6]
ecoli-0_vs_1.dat; CHI SQUARE; 5; 220; 80.0; 0.9727272727272728; 0.9797297297297297; 1.0; 0.9594594594594594; 0.9793103448275862; (0.9594594594594594,0.0,1.0); [[71,0],[3,36]]; [0,1,2,5,6]
ecoli-0_vs_1.dat; CORRELATION COEF; 5; 220; 80.0; 0.9545454545454546; 0.9671052631578947; 1.0; 0.9342105263157895; 0.9659863945578232; (0.9342105263157895,0.0,1.0); [[71,0],[5,34]]; [1,2,4,5,6]
ecoli1.dat; NO SELECTION; 7; 336; 100; 0.8690476190476191; 0.857062937062937; 0.5384615384615384; 0.84; 0.6562499999999999; (0.84,0.1258741258741259,0.8741258741258742); [[21,18],[4,125]]; ['all']
ecoli1.dat; ANOVA; 1; 336; 20.0; 0.8452380952380952; 0.7869670152855994; 0.8717948717948718; 0.6181818181818182; 0.723404255319149; (0.6181818181818182,0.04424778761061947,0.9557522123893806); [[34,5],[21,108]]; [5]
ecoli1.dat; RELIEF; 1; 336; 20.0; 0.8452380952380952; 0.7869670152855994; 0.8717948717948718; 0.6181818181818182; 0.723404255319149; (0.6181818181818182,0.04424778761061947,0.9557522123893806); [[34,5],[21,108]]; [5]
ecoli1.dat; INFORATION GAIN; 1; 336; 20.0; 0.8452380952380952; 0.7869670152855994; 0.8717948717948718; 0.6181818181818182; 0.723404255319149; (0.6181818181818182,0.04424778761061947,0.9557522123893806); [[34,5],[21,108]]; [5]
ecoli1.dat; CHI SQUARE; 1; 336; 20.0; 0.8452380952380952; 0.7869670152855994; 0.8717948717948718; 0.6181818181818182; 0.723404255319149; (0.6181818181818182,0.04424778761061947,0.9557522123893806); [[34,5],[21,108]]; [5]
ecoli1.dat; CORRELATION COEF; 1; 336; 20.0; 0.8392857142857143; 0.7792397660818713; 0.8461538461538461; 0.6111111111111112; 0.7096774193548387; (0.6111111111111112,0.05263157894736842,0.9473684210526315); [[33,6],[21,108]]; [6]
ecoli1.dat; ANOVA; 2; 336; 40.0; 0.8392857142857143; 0.7792397660818713; 0.8461538461538461; 0.6111111111111112; 0.7096774193548387; (0.6111111111111112,0.05263157894736842,0.9473684210526315); [[33,6],[21,108]]; [5,6]
ecoli1.dat; RELIEF; 2; 336; 40.0; 0.8392857142857143; 0.7792397660818713; 0.8461538461538461; 0.6111111111111112; 0.7096774193548387; (0.6111111111111112,0.05263157894736842,0.9473684210526315); [[33,6],[21,108]]; [5,6]
ecoli1.dat; INFORATION GAIN; 2; 336; 40.0; 0.8392857142857143; 0.7792397660818713; 0.8461538461538461; 0.6111111111111112; 0.7096774193548387; (0.6111111111111112,0.05263157894736842,0.9473684210526315); [[33,6],[21,108]]; [5,6]
