dataset; method; num_of_feat; num_of_elems; percent; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores
ecoli-0-6-7_vs_5.dat; NO SELECTION; 6; 220; 100; 0.9636363636363636; 0.9807692307692308; 0.6; 1.0; 0.7499999999999999; (1.0,0.038461538461538464,0.9615384615384616); [[6,4],[0,100]]; ['all']
ecoli-0-6-7_vs_5.dat; ANOVA; 1; 220; 20.0; 0.9636363636363636; 0.89; 0.8; 0.8; 0.8000000000000002; (0.8,0.02,0.98); [[8,2],[2,98]]; [3]
ecoli-0-6-7_vs_5.dat; RELIEF; 1; 220; 20.0; 0.9636363636363636; 0.89; 0.8; 0.8; 0.8000000000000002; (0.8,0.02,0.98); [[8,2],[2,98]]; [3]
ecoli-0-6-7_vs_5.dat; INFORATION GAIN; 1; 220; 20.0; 0.9636363636363636; 0.89; 0.8; 0.8; 0.8000000000000002; (0.8,0.02,0.98); [[8,2],[2,98]]; [3]
ecoli-0-6-7_vs_5.dat; CHI SQUARE; 1; 220; 20.0; 0.9636363636363636; 0.89; 0.8; 0.8; 0.8000000000000002; (0.8,0.02,0.98); [[8,2],[2,98]]; [3]
ecoli-0-6-7_vs_5.dat; CORRELATION COEF; 1; 220; 20.0; 0.9090909090909091; 0.45454545454545453; 0.0; 0.0; 0.0; (0.0,0.09090909090909091,0.9090909090909091); [[0,10],[0,100]]; [1]
ecoli-0-6-7_vs_5.dat; ANOVA; 2; 220; 40.0; 0.9818181818181818; 0.9450000000000001; 0.9; 0.9; 0.9; (0.9,0.01,0.99); [[9,1],[1,99]]; [0,3]
ecoli-0-6-7_vs_5.dat; RELIEF; 2; 220; 40.0; 0.9818181818181818; 0.9450000000000001; 0.9; 0.9; 0.9; (0.9,0.01,0.99); [[9,1],[1,99]]; [0,3]
ecoli-0-6-7_vs_5.dat; INFORATION GAIN; 2; 220; 40.0; 0.9727272727272728; 0.9854368932038835; 0.7; 1.0; 0.8235294117647058; (1.0,0.02912621359223301,0.970873786407767); [[7,3],[0,100]]; [1,3]
ecoli-0-6-7_vs_5.dat; CHI SQUARE; 2; 220; 40.0; 0.9818181818181818; 0.9450000000000001; 0.9; 0.9; 0.9; (0.9,0.01,0.99); [[9,1],[1,99]]; [0,3]
ecoli-0-6-7_vs_5.dat; CORRELATION COEF; 2; 220; 40.0; 0.9090909090909091; 0.45454545454545453; 0.0; 0.0; 0.0; (0.0,0.09090909090909091,0.9090909090909091); [[0,10],[0,100]]; [1,5]
ecoli-0-6-7_vs_5.dat; ANOVA; 3; 220; 60.0; 0.9818181818181818; 0.9901960784313726; 0.8; 1.0; 0.888888888888889; (1.0,0.0196078431372549,0.9803921568627451); [[8,2],[0,100]]; [0,1,3]
ecoli-0-6-7_vs_5.dat; RELIEF; 3; 220; 60.0; 0.9818181818181818; 0.9901960784313726; 0.8; 1.0; 0.888888888888889; (1.0,0.0196078431372549,0.9803921568627451); [[8,2],[0,100]]; [0,1,3]
ecoli-0-6-7_vs_5.dat; INFORATION GAIN; 3; 220; 60.0; 0.9818181818181818; 0.9901960784313726; 0.8; 1.0; 0.888888888888889; (1.0,0.0196078431372549,0.9803921568627451); [[8,2],[0,100]]; [0,1,3]
ecoli-0-6-7_vs_5.dat; CHI SQUARE; 3; 220; 60.0; 0.9818181818181818; 0.9901960784313726; 0.8; 1.0; 0.888888888888889; (1.0,0.0196078431372549,0.9803921568627451); [[8,2],[0,100]]; [0,1,3]
ecoli-0-6-7_vs_5.dat; CORRELATION COEF; 3; 220; 60.0; 0.9090909090909091; 0.45454545454545453; 0.0; 0.0; 0.0; (0.0,0.09090909090909091,0.9090909090909091); [[0,10],[0,100]]; [1,4,5]
ecoli-0-6-7_vs_5.dat; ANOVA; 4; 220; 80.0; 0.9818181818181818; 0.9901960784313726; 0.8; 1.0; 0.888888888888889; (1.0,0.0196078431372549,0.9803921568627451); [[8,2],[0,100]]; [0,1,3,5]
ecoli-0-6-7_vs_5.dat; RELIEF; 4; 220; 80.0; 0.9454545454545454; 0.9716981132075472; 0.4; 1.0; 0.5714285714285715; (1.0,0.05660377358490566,0.9433962264150944); [[4,6],[0,100]]; [0,1,3,4]
