dataset; method; num_of_feat; num_of_elems; percent; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores
kr-vs-k-zero_vs_eight.dat; NO SELECTION; 6; 1460; 100; 0.9863013698630136; 0.9931224209078404; 0.23076923076923078; 1.0; 0.375; (1.0,0.013755158184319119,0.9862448418156808); [[3,10],[0,717]]; ['all']
kr-vs-k-zero_vs_eight.dat; ANOVA; 1; 1460; 20.0; 0.8890410958904109; 0.5380532971996387; 0.5384615384615384; 0.08536585365853659; 0.1473684210526316; (0.08536585365853659,0.009259259259259259,0.9907407407407407); [[7,6],[75,642]]; [4]
kr-vs-k-zero_vs_eight.dat; RELIEF; 1; 1460; 20.0; 0.8890410958904109; 0.5380532971996387; 0.5384615384615384; 0.08536585365853659; 0.1473684210526316; (0.08536585365853659,0.009259259259259259,0.9907407407407407); [[7,6],[75,642]]; [4]
kr-vs-k-zero_vs_eight.dat; INFORATION GAIN; 1; 1460; 20.0; 0.8890410958904109; 0.5380532971996387; 0.5384615384615384; 0.08536585365853659; 0.1473684210526316; (0.08536585365853659,0.009259259259259259,0.9907407407407407); [[7,6],[75,642]]; [4]
kr-vs-k-zero_vs_eight.dat; CHI SQUARE; 1; 1460; 20.0; 0.8890410958904109; 0.5380532971996387; 0.5384615384615384; 0.08536585365853659; 0.1473684210526316; (0.08536585365853659,0.009259259259259259,0.9907407407407407); [[7,6],[75,642]]; [4]
kr-vs-k-zero_vs_eight.dat; CORRELATION COEF; 1; 1460; 20.0; 0.9821917808219178; 0.4910958904109589; 0.0; 0.0; 0.0; (0.0,0.01780821917808219,0.9821917808219178); [[0,13],[0,717]]; [1]
kr-vs-k-zero_vs_eight.dat; ANOVA; 2; 1460; 40.0; 0.989041095890411; 0.8847280012328556; 0.5384615384615384; 0.7777777777777778; 0.6363636363636364; (0.7777777777777778,0.008321775312066574,0.9916782246879334); [[7,6],[2,715]]; [2,4]
kr-vs-k-zero_vs_eight.dat; RELIEF; 2; 1460; 40.0; 0.9821917808219178; 0.4910958904109589; 0.0; 0.0; 0.0; (0.0,0.01780821917808219,0.9821917808219178); [[0,13],[0,717]]; [3,4]
kr-vs-k-zero_vs_eight.dat; INFORATION GAIN; 2; 1460; 40.0; 0.989041095890411; 0.8847280012328556; 0.5384615384615384; 0.7777777777777778; 0.6363636363636364; (0.7777777777777778,0.008321775312066574,0.9916782246879334); [[7,6],[2,715]]; [2,4]
kr-vs-k-zero_vs_eight.dat; CHI SQUARE; 2; 1460; 40.0; 0.9876712328767123; 0.993801652892562; 0.3076923076923077; 1.0; 0.47058823529411764; (1.0,0.012396694214876033,0.987603305785124); [[4,9],[0,717]]; [4,5]
kr-vs-k-zero_vs_eight.dat; CORRELATION COEF; 2; 1460; 40.0; 0.9821917808219178; 0.4910958904109589; 0.0; 0.0; 0.0; (0.0,0.01780821917808219,0.9821917808219178); [[0,13],[0,717]]; [1,3]
kr-vs-k-zero_vs_eight.dat; ANOVA; 3; 1460; 60.0; 0.9904109589041096; 0.9333448753462603; 0.5384615384615384; 0.875; 0.6666666666666667; (0.875,0.008310249307479225,0.9916897506925207); [[7,6],[1,716]]; [2,4,5]
kr-vs-k-zero_vs_eight.dat; RELIEF; 3; 1460; 60.0; 0.9821917808219178; 0.4910958904109589; 0.0; 0.0; 0.0; (0.0,0.01780821917808219,0.9821917808219178); [[0,13],[0,717]]; [3,4,5]
