dataset; method; num_of_feat; num_of_elems; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores; time
ecoli-0-6-7_vs_5.dat; NO SELECTION; 6; 220; 0.9636363636363636; 0.9807692307692308; 0.6; 1.0; 0.7499999999999999; (1.0,0.038461538461538464,0.9615384615384616); [[6,4],[0,100]]; ['all']; 0
ecoli-0-6-7_vs_5.dat; ANOVA; 6; 220; 0.9636363636363636; 0.9807692307692308; 0.6; 1.0; 0.7499999999999999; (1.0,0.038461538461538464,0.9615384615384616); [[6,4],[0,100]]; [0,1,2,3,4,5]; 0.0006289482116699219
ecoli-0-6-7_vs_5.dat; RELIEF; 6; 220; 0.9636363636363636; 0.9807692307692308; 0.6; 1.0; 0.7499999999999999; (1.0,0.038461538461538464,0.9615384615384616); [[6,4],[0,100]]; [0,1,2,3,4,5]; 0.08060288429260254
ecoli-0-6-7_vs_5.dat; INFORATION GAIN; 6; 220; 0.9636363636363636; 0.9807692307692308; 0.6; 1.0; 0.7499999999999999; (1.0,0.038461538461538464,0.9615384615384616); [[6,4],[0,100]]; [0,1,2,3,4,5]; 0.017322301864624023
ecoli-0-6-7_vs_5.dat; CHI SQUARE; 6; 220; 0.9636363636363636; 0.9807692307692308; 0.6; 1.0; 0.7499999999999999; (1.0,0.038461538461538464,0.9615384615384616); [[6,4],[0,100]]; [0,1,2,3,4,5]; 0.0010824203491210938
ecoli-0-6-7_vs_5.dat; CORRELATION COEF; 5; 220; 0.9545454545454546; 0.9761904761904762; 0.5; 1.0; 0.6666666666666666; (1.0,0.047619047619047616,0.9523809523809523); [[5,5],[0,100]]; [1,2,3,4,5]; 0.0013778209686279297
ecoli-0-2-3-4_vs_5.dat; NO SELECTION; 7; 202; 0.9504950495049505; 0.9739583333333333; 0.5; 1.0; 0.6666666666666666; (1.0,0.052083333333333336,0.9479166666666666); [[5,5],[0,91]]; ['all']; 0
ecoli-0-2-3-4_vs_5.dat; ANOVA; 7; 202; 0.9504950495049505; 0.9739583333333333; 0.5; 1.0; 0.6666666666666666; (1.0,0.052083333333333336,0.9479166666666666); [[5,5],[0,91]]; [0,1,2,3,4,5,6]; 0.0005953311920166016
ecoli-0-2-3-4_vs_5.dat; RELIEF; 7; 202; 0.9504950495049505; 0.9739583333333333; 0.5; 1.0; 0.6666666666666666; (1.0,0.052083333333333336,0.9479166666666666); [[5,5],[0,91]]; [0,1,2,3,4,5,6]; 0.06560254096984863
ecoli-0-2-3-4_vs_5.dat; INFORATION GAIN; 7; 202; 0.9504950495049505; 0.9739583333333333; 0.5; 1.0; 0.6666666666666666; (1.0,0.052083333333333336,0.9479166666666666); [[5,5],[0,91]]; [0,1,2,3,4,5,6]; 0.021177291870117188
