dataset; method; num_of_feat; wilcoxon_p; f1_results; scores
yeast5.dat; NO SELECTION; 8; 0; [0.4848484848484849,0.0,0.5294117647058824,0.16666666666666669,0.22222222222222224]; ['all']
yeast5.dat; ANOVA; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [0]
yeast5.dat; RELIEF; 1; 0.06788915486182899; [0.0,0.0,0.19999999999999998,0.0,0.0]; [0]
yeast5.dat; INFORATION GAIN; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [1]
yeast5.dat; CHI SQUARE; 1; 0.06788915486182899; [0.0,0.0,0.19999999999999998,0.0,0.0]; [0]
yeast5.dat; CORRELATION COEF; 1; 0.06788915486182899; [0.0,0.0,0.0,0.0,0.0]; [1]
yeast-2_vs_8.dat; NO SELECTION; 8; 0; [0.625,0.0,0.4615384615384615,0.0,0.0]; ['all']
yeast-2_vs_8.dat; ANOVA; 1; 0; [0.625,0.0,0.4615384615384615,0.0,0.0]; [5]
yeast-2_vs_8.dat; RELIEF; 7; 0; [0.625,0.0,0.4615384615384615,0.0,0.0]; [0,1,2,3,5,6,7]
yeast-2_vs_8.dat; INFORATION GAIN; 1; 0; [0.625,0.0,0.4615384615384615,0.0,0.0]; [7]
yeast-2_vs_8.dat; CHI SQUARE; 1; 0; [0.625,0.0,0.4615384615384615,0.0,0.0]; [5]
yeast-2_vs_8.dat; CORRELATION COEF; 6; 0; [0.625,0.0,0.4615384615384615,0.0,0.0]; [1,2,3,5,6,7]
yeast4.dat; NO SELECTION; 8; 0; [0.0,0.0,0.0,0.0,0.2222222222222222]; ['all']
yeast4.dat; ANOVA; 6; 0; [0.0,0.0,0.0,0.0,0.2222222222222222]; [0,1,2,3,6,7]
yeast4.dat; RELIEF; 2; 0; [0.0,0.0,0.0,0.0,0.2222222222222222]; [0,1]
yeast4.dat; INFORATION GAIN; 7; 0; [0.0,0.0,0.0,0.0,0.2222222222222222]; [0,1,2,4,5,6,7]
yeast4.dat; CHI SQUARE; 7; 0; [0.0,0.0,0.0,0.0,0.2222222222222222]; [0,1,2,3,4,5,7]
yeast4.dat; CORRELATION COEF; 7; 0; [0.0,0.0,0.0,0.0,0.2222222222222222]; [1,2,3,4,5,6,7]
ecoli4.dat; NO SELECTION; 7; 0; [0.8235294117647058,0.0,0.7499999999999999,0.0,0.0]; ['all']
ecoli4.dat; ANOVA; 4; 0; [0.8235294117647058,0.0,0.7499999999999999,0.0,0.0]; [0,1,4,6]
